uid,bd_earner_only,bd_members_respfor,bd_bizsector,e_total_employees,e_fulltime_employees,e_parttime_employees,e_casual_employees,e_male_employees,e_female_employees,e_related_employees,e_refugees_employees,Howmanyemployeesarefromthe,sr_bank_account,sr_pri_inc_sourcs,sr_access_newfunds,IfYesinQ31howhaveyouacce,sr_access,sr_access_1,sr_access_2,sr_access_3,sr_access_4,sr_access_5,sr_access_6,sr_access_7,sr_access_8,sr_access_9,sr_access_no,Onaveragehowmanycustomersd,sr_customers_hwmny,OUTLIERCHECKONTHENUMBEROFC,sr_customers_main,sr_records_keepb,sr_mnthly_sales_total,OUTLIERCHECKONTHEAVERAGEMON,sr_fluctuations,sr_revstreams_most,sr_revstreams_least,BI,BJ,BK,BL,Onascaleof1to5where1me,knwrate_sales,knwrate_ops_mgt,knwrate_invent_mgt,knwrate_bkeeping,knwrate_cashflow,skill_imprv1,skill_imprv2,skill_imprv3,skill_imprv4,Howmanymealsdoesyourhouseho,liv_meals_number_base,Inthelast4monthsdidyoubu,liv_assetsbght_4mnths,liv_cookingfuel,CB,CC,liv_expnseschl_3mnths,liv_expnsecooking,liv_expnsehhclthng,liv_expnserent,liv_expnsetrans_comm,aec_knowledge
part/KE16012104011,Yes,8,Shop & Retail,2,2,0,0,1,1,1,2,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,60000,,"Yes, Somewhat Flactuating",October,March,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,600,3600,0,1500,Aec-Kenya Staff
part/KE16012104012,Yes,11,Mpesa Shop And Retail Shop,2,2,0,0,2,0,0,2,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,900,,Individuals From The Camp (Refugee Customers),No,45000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Three Times A Week Or More,None,Firewood,Charcoal,,0,600,4500,0,200,Aec-Kenya Staff
part/KE16012104013,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,Personal Savings,0,10000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,100,,Individuals From The Camp (Refugee Customers),Yes,25000,,"No, Very Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,3,3,4,Sales,Book Keeping,,,,Three Times And More,Three Times A Week Or More,None,Charcoal,,,0,700,6000,0,1000,Aec-Kenya Staff
part/KE16012104014,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,Personal Savings,0,100000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,70,,Individuals From The Camp (Refugee Customers),Yes,25000,,"No, Very Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,,,,,Twice A Day,None,None,Charcoal,,,0,800,0,0,600,Client Is Not Aware About Aec
part/KE16012104015,No,4,Professional/Business Services,3,3,0,0,3,0,0,3,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,330,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,21000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,1,2,1,2,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,600,0,0,1500,Aec-Kenya Staff
part/KE16012104016,No,14,Shop & Retail,1,1,0,0,0,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,240,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,1500,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,1,2,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,0,1800,3000,0,600,Aec-Kenya Staff
part/KE16012104017,Yes,4,Agribusiness - Food Processing,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,Loan From Family/Friends,0,0,0,5000,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,20,,Individuals From The Camp (Refugee Customers),No,6000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,,,,,Three Times And More,Three Times A Week Or More,None,Charcoal,,,0,700,0,0,600,Aec-Kenya Staff
part/KE16012104018,Yes,6,Generator Supplies,5,5,0,0,5,0,0,5,0,No,My Own Business,No,,Personal Savings,0,10000,0,0,0,0,0,0,0,"I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable, I Do Not Qualify For Credit, Or I",I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,600,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County), Sma",Yes,55000,,"Yes, Somewhat Flactuating",March,January,Competing Expenditure From Other Needs,Disruption Of Supply Chain,High Transportation Costs,,,4,4,3,3,3,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Twice A Day,Twice A Week,None,Firewood,Charcoal,,5400,900,4000,300,800,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104019,Yes,6,Grocery,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,70,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,30000,,"Yes, Strongly Flactuating",December,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,High Transportation Costs,,,2,2,2,2,2,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Twice A Day,Twice A Week,None,Charcoal,,,0,1500,1000,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104020,Yes,7,Ict,2,1,1,0,2,0,0,0,2,Yes,My Own Business,No,,He Not Accessed Any Loan,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),Yes,15000,,"Yes, Somewhat Flactuating",December,Februrary,Competing Expenditure From Other Needs,,,,,3,3,3,4,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,500,1000,3000,2500,2100,Other Aec Partners (Ngos/Ingos/Cbos)
part/KE16012104021,Yes,3,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),Yes,30000,,"Yes, Somewhat Flactuating",November,Februrary,Poor Weather,Competing Expenditure From Other Needs,Less Supply Of Goods,,,1,2,2,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,0,600,5000,0,1500,Aec-Kenya Staff
part/KE16012104022,Yes,1,Clothes And Textile,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,1500,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,60000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,0,700,0,6000,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104023,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,90000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,2,2,1,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,450,0,0,15000,Aec-Kenya Staff
part/KE16012104024,Yes,7,Electronics,1,1,0,0,1,0,0,1,0,No,My Own Business,No,,Loan From Family/Friends,0,0,0,200000,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,500,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,40000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,Less Supply Of Goods,Disruption Of Supply Chain,High Transportation Costs,,3,3,3,2,4,Sales,Book Keeping,Cash Flow And Inventory Management,,,Twice A Day,Three Times A Week Or More,None,Firewood,Charcoal,,300,1100,2000,3400,1000,Aec-Kenya Staff
part/KE16012104025,Yes,14,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,450,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,30000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,500,0,0,1500,Aec-Kenya Staff
part/KE16012104026,Yes,10,Personal Services,2,2,1,0,2,0,1,2,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,150,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,21000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,1,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Three Times A Week Or More,None,Firewood,Charcoal,,0,1500,4000,0,1000,Aec-Kenya Staff
part/KE16012104027,No,4,Shop & Retail,1,1,0,0,1,0,0,0,1,No,My Own Business,No,,Personal Savings,0,1000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,40,,Individuals From The Camp (Refugee Customers),No,4000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,3,3,4,3,Sales,,,,,Twice A Day,Once A Week,None,Firewood,,,0,1200,0,1000,600,Client Is Not Aware About Aec
part/KE16012104028,Yes,4,Personal Services,1,1,1,0,0,1,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),Yes,15000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,700,0,0,200,Aec-Kenya Staff
part/KE16012104029,Yes,8,Shop & Retail,2,2,0,0,1,1,1,2,0,No,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,60,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,8000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,Less Supply Of Goods,Disruption Of Supply Chain,High Transportation Costs,,3,3,3,4,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,1000,1500,1000,0,1000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104030,Yes,2,Shop & Retail,1,0,1,0,1,0,0,1,0,Yes,My Own Business,No,,He Sell From His Business And He Invest From His Revenues,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,15,,Individuals From The Camp (Refugee Customers),Yes,18000,,"Yes, Strongly Flactuating",December,Februrary,Competing Expenditure From Other Needs,,,,,3,4,4,3,3,Sales,,,,,Twice A Day,Twice A Week,Radio Or Television,Firewood,,,0,3000,1500,0,1500,Fellow Entrepreneur/Business Owner
part/KE16012104031,No,8,Shop & Retail,2,2,3,0,2,0,0,2,0,Yes,My Own Business,No,,He Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,450,,Individuals From The Camp (Refugee Customers),No,300000,Outlier,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,3,3,2,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Three Times A Week Or More,None,Firewood,Charcoal,,0,1200,3000,0,1500,Fellow Entrepreneur/Business Owner
part/KE16012104032,Yes,2,Shop & Retail,2,1,1,0,2,0,0,2,0,No,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,100,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County), Sma",Yes,100000,,"Yes, Somewhat Flactuating",December,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,Disruption Of Supply Chain,High Transportation Costs,,4,4,4,4,4,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,1500,2000,0,1000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104033,Yes,13,Shop & Retail,1,1,0,0,1,0,0,1,0,No,My Own Business,No,,"Personal Savings, Loan From Family/Friends",0,2000,0,20000,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,450,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,30000,,"Yes, Somewhat Flactuating",December,Februrary,Competing Expenditure From Other Needs,Disruption Of Supply Chain,,,,2,2,2,2,2,Sales,Book Keeping,Cash Flow And Inventory Management,,,Three Times And More,Twice A Week,None,Firewood,,,400,700,3000,200,300,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104034,Yes,4,Shop & Wholesale,2,2,0,0,1,1,0,0,1,Yes,My Own Business,No,,Her Business Didn'T Access New Loans,0,0,0,0,0,0,0,0,0,"I Do Not Qualify For Credit, Or I Applied And Was Rejected","I Do Not Qualify For Credit, Or I Applied And Was Rejected",300,,Individuals From The Camp (Refugee Customers),Yes,15000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,3,3,3,3,4,Sales,,,,,Three Times And More,Twice A Week,"Radio Or Television, Chairs, Tables, Bed, Or Other",Firewood,Charcoal,,7000,1500,3000,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104035,No,3,Shop & Retail,1,1,0,0,0,1,0,0,1,Yes,My Own Business,Yes,"Loan From Online Mobile Platforms [M-Shwari, Tala,","Loan From Online Mobile Platforms [M-Shwari, Tala, Branch, E.T.C]",0,0,0,0,0,7500,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,210,,Individuals From The Camp (Refugee Customers),No,150000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,1,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Once A Week,None,Gas,,,0,12000,2500,4100,1200,Aec-Kenya Staff
part/KE16012104036,Yes,4,Shop & Retail,1,0,1,1,1,0,0,0,1,Yes,My Own Business,No,,He Has Not Accessed Any Loan,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,40000,Outlier,Individuals From The Camp (Refugee Customers),Yes,30000,,"Yes, Somewhat Flactuating",May,January,Competing Expenditure From Other Needs,,,,,4,4,3,4,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,13000,1200,3000,0,3000,Fellow Entrepreneur/Business Owner
part/KE16012104037,Yes,13,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,150,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,500000,Outlier,"Yes, Somewhat Flactuating",October,Februrary,Poor Weather,Competing Expenditure From Other Needs,,,,1,2,2,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,1000,0,0,1000,Aec-Kenya Staff
part/KE16012104038,Yes,10,Personal Services,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,30000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,1,2,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,1000,0,0,15000,Aec-Kenya Staff
part/KE16012104039,Yes,2,Mpesa,2,2,0,0,2,0,0,2,0,No,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,No Access,,30,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,20000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,5,5,5,5,5,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,1000,1500,0,2000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104040,Yes,7,Fashion,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,15,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,15000,,"Yes, Somewhat Flactuating",December,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,3,3,3,4,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,1500,2000,0,1000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
